"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-007 Verify clicking Office Trailers for Sale navigates to sales showroom","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-016 Verify all product links return HTTP 200","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-017 Verify industry solution tabs are displayed with correct names","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-002 Verify hero banner displays correct headline","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-006 Verify clicking Locations navigates to locations page","0"
"1","WillScot Website Quality","0","Homepage Validation","0","0","TC-008 Verify clicking Solutions navigates to solutions page","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-015 Verify product images load without distortion or broken src","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-005 Verify top-level navigation items are visible","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-010 Verify Request a Quote button is visible in header","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-003 Verify Learn More CTA button is visible and clickable","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-014 Verify clicking Storage Containers card navigates correctly","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-004 Verify no broken images console errors or JavaScript exceptions","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-011 Verify clicking Request a Quote opens request quote page in same tab","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-013 Verify Storage Containers product card displays with image and label","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-009 Verify clicking About Us navigates to about page","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-012 Verify Request Support button navigates to request service page","0"
"0","WillScot Website Quality","0","Homepage Validation","1","0","TC-001 Verify homepage loads within 4 seconds","0"
